,accuracy,auroc,auprc,f1,precision,recall,embedding_level,layer,k
0,0.5728155339805825,0.5637254901960784,0.5445708754737888,0.5849056603773585,0.5636363636363636,0.6078431372549019,token_img,0,1
1,0.5728155339805825,0.5610859728506787,0.5464339146878568,0.5849056603773585,0.5636363636363636,0.6078431372549019,token_img,7,1
2,0.5728155339805825,0.5693815987933635,0.5499906297148466,0.5849056603773585,0.5636363636363636,0.6078431372549019,token_img,14,1
3,0.5533980582524272,0.5708898944193062,0.5627656363684509,0.5576923076923077,0.5471698113207547,0.5686274509803921,token_img,21,1
4,0.5825242718446602,0.5886123680241327,0.5709781822859779,0.5904761904761905,0.5740740740740741,0.6078431372549019,token_img,28,1
0,0.49514563106796117,0.44117647058823534,0.45134961992827466,0.6623376623376623,0.49514563106796117,1.0,token_text,0,1
1,0.4077669902912621,0.41063348416289597,0.4316119639856194,0.41904761904761906,0.4074074074074074,0.43137254901960786,token_text,7,1
2,0.44660194174757284,0.4249622926093514,0.43355250473417284,0.45714285714285713,0.4444444444444444,0.47058823529411764,token_text,14,1
3,0.5145631067961165,0.5098039215686274,0.5231363947631028,0.5283018867924528,0.509090909090909,0.5490196078431373,token_text,21,1
4,0.5728155339805825,0.5923831070889894,0.6149807549973416,0.5849056603773585,0.5636363636363636,0.6078431372549019,token_text,28,1
0,0.8737864077669902,0.9506033182503771,0.9542540254578337,0.8737864077669902,0.8653846153846154,0.8823529411764706,sentence_all,0,2
1,0.9029126213592233,0.9653092006033184,0.9652950726045256,0.9038461538461539,0.8867924528301887,0.9215686274509803,sentence_all,7,2
2,0.912621359223301,0.9800150829562594,0.981365658271564,0.9108910891089109,0.92,0.9019607843137255,sentence_all,14,2
3,0.9902912621359223,0.9996229260935143,0.9996229260935147,0.9900990099009901,1.0,0.9803921568627451,sentence_all,21,2
4,0.9902912621359223,0.9992458521870287,0.9992600813910473,0.9900990099009901,1.0,0.9803921568627451,sentence_all,28,2
0,0.9514563106796117,0.9852941176470589,0.9862930226790925,0.9514563106796117,0.9423076923076923,0.9607843137254902,sentence_img,0,2
1,0.9514563106796117,0.9898190045248869,0.9906045402853402,0.9514563106796117,0.9423076923076923,0.9607843137254902,sentence_img,7,2
2,0.970873786407767,0.9958521870286576,0.9961315013969155,0.9702970297029703,0.98,0.9607843137254902,sentence_img,14,2
3,0.9902912621359223,0.9996229260935143,0.9996229260935147,0.9900990099009901,1.0,0.9803921568627451,sentence_img,21,2
4,0.9805825242718447,0.998868778280543,0.9989106753812639,0.9803921568627451,0.9803921568627451,0.9803921568627451,sentence_img,28,2
0,0.49514563106796117,0.6395173453996984,0.6497131290126618,0.6623376623376623,0.49514563106796117,1.0,sentence_text,0,2
1,0.5145631067961165,0.547134238310709,0.6108716207672115,0.5614035087719298,0.5079365079365079,0.6274509803921569,sentence_text,7,2
2,0.7378640776699029,0.8597285067873304,0.8727741365718317,0.7567567567567568,0.7,0.8235294117647058,sentence_text,14,2
3,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_text,21,2
4,0.9514563106796117,1.0,1.0000000000000002,0.9484536082474226,1.0,0.9019607843137255,sentence_text,28,2
0,0.4077669902912621,0.41365007541478127,0.4229866657548748,0.39603960396039606,0.4,0.39215686274509803,token_all,0,2
1,0.4077669902912621,0.4106334841628959,0.4215939057521333,0.39603960396039606,0.4,0.39215686274509803,token_all,7,2
2,0.4077669902912621,0.4098793363499246,0.42063805417843503,0.3711340206185567,0.391304347826087,0.35294117647058826,token_all,14,2
3,0.47572815533980584,0.4524886877828055,0.4464824082968384,0.47058823529411764,0.47058823529411764,0.47058823529411764,token_all,21,2
4,0.5631067961165048,0.5467571644042232,0.5245056471751561,0.5794392523364486,0.5535714285714286,0.6078431372549019,token_all,28,2
0,0.5728155339805825,0.5637254901960784,0.5445708754737888,0.5849056603773585,0.5636363636363636,0.6078431372549019,token_img,0,2
1,0.5728155339805825,0.5610859728506787,0.5464339146878568,0.5849056603773585,0.5636363636363636,0.6078431372549019,token_img,7,2
2,0.5728155339805825,0.5693815987933635,0.5499906297148466,0.5849056603773585,0.5636363636363636,0.6078431372549019,token_img,14,2
3,0.5533980582524272,0.5708898944193062,0.5627656363684509,0.5576923076923077,0.5471698113207547,0.5686274509803921,token_img,21,2
4,0.5825242718446602,0.5886123680241327,0.5709781822859779,0.5904761904761905,0.5740740740740741,0.6078431372549019,token_img,28,2
0,0.49514563106796117,0.44117647058823534,0.45134961992827466,0.6623376623376623,0.49514563106796117,1.0,token_text,0,2
1,0.4077669902912621,0.41063348416289597,0.4316119639856194,0.41904761904761906,0.4074074074074074,0.43137254901960786,token_text,7,2
2,0.44660194174757284,0.4249622926093514,0.43355250473417284,0.45714285714285713,0.4444444444444444,0.47058823529411764,token_text,14,2
3,0.5145631067961165,0.5098039215686274,0.5231363947631028,0.5283018867924528,0.509090909090909,0.5490196078431373,token_text,21,2
4,0.5728155339805825,0.5923831070889894,0.6149807549973416,0.5849056603773585,0.5636363636363636,0.6078431372549019,token_text,28,2
0,0.8737864077669902,0.9506033182503771,0.9542540254578337,0.8737864077669902,0.8653846153846154,0.8823529411764706,sentence_all,0,3
1,0.9029126213592233,0.9653092006033184,0.9652950726045256,0.9038461538461539,0.8867924528301887,0.9215686274509803,sentence_all,7,3
2,0.912621359223301,0.9800150829562594,0.981365658271564,0.9108910891089109,0.92,0.9019607843137255,sentence_all,14,3
3,0.9902912621359223,0.9996229260935143,0.9996229260935147,0.9900990099009901,1.0,0.9803921568627451,sentence_all,21,3
4,0.9902912621359223,0.9992458521870287,0.9992600813910473,0.9900990099009901,1.0,0.9803921568627451,sentence_all,28,3
0,0.9514563106796117,0.9852941176470589,0.9862930226790925,0.9514563106796117,0.9423076923076923,0.9607843137254902,sentence_img,0,3
1,0.9514563106796117,0.9898190045248869,0.9906045402853402,0.9514563106796117,0.9423076923076923,0.9607843137254902,sentence_img,7,3
2,0.970873786407767,0.9958521870286576,0.9961315013969155,0.9702970297029703,0.98,0.9607843137254902,sentence_img,14,3
3,0.9902912621359223,0.9996229260935143,0.9996229260935147,0.9900990099009901,1.0,0.9803921568627451,sentence_img,21,3
4,0.9805825242718447,0.998868778280543,0.9989106753812639,0.9803921568627451,0.9803921568627451,0.9803921568627451,sentence_img,28,3
0,0.49514563106796117,0.6395173453996984,0.6497131290126618,0.6623376623376623,0.49514563106796117,1.0,sentence_text,0,3
1,0.5145631067961165,0.547134238310709,0.6108716207672115,0.5614035087719298,0.5079365079365079,0.6274509803921569,sentence_text,7,3
2,0.7378640776699029,0.8597285067873304,0.8727741365718317,0.7567567567567568,0.7,0.8235294117647058,sentence_text,14,3
3,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_text,21,3
4,0.9514563106796117,1.0,1.0000000000000002,0.9484536082474226,1.0,0.9019607843137255,sentence_text,28,3
0,0.4077669902912621,0.41365007541478127,0.4229866657548748,0.39603960396039606,0.4,0.39215686274509803,token_all,0,3
1,0.4077669902912621,0.4106334841628959,0.4215939057521333,0.39603960396039606,0.4,0.39215686274509803,token_all,7,3
2,0.4077669902912621,0.4098793363499246,0.42063805417843503,0.3711340206185567,0.391304347826087,0.35294117647058826,token_all,14,3
3,0.47572815533980584,0.4524886877828055,0.4464824082968384,0.47058823529411764,0.47058823529411764,0.47058823529411764,token_all,21,3
4,0.5631067961165048,0.5467571644042232,0.5245056471751561,0.5794392523364486,0.5535714285714286,0.6078431372549019,token_all,28,3
0,0.5728155339805825,0.5637254901960784,0.5445708754737888,0.5849056603773585,0.5636363636363636,0.6078431372549019,token_img,0,3
1,0.5728155339805825,0.5610859728506787,0.5464339146878568,0.5849056603773585,0.5636363636363636,0.6078431372549019,token_img,7,3
2,0.5728155339805825,0.5693815987933635,0.5499906297148466,0.5849056603773585,0.5636363636363636,0.6078431372549019,token_img,14,3
3,0.5533980582524272,0.5708898944193062,0.5627656363684509,0.5576923076923077,0.5471698113207547,0.5686274509803921,token_img,21,3
4,0.5825242718446602,0.5886123680241327,0.5709781822859779,0.5904761904761905,0.5740740740740741,0.6078431372549019,token_img,28,3
0,0.49514563106796117,0.44117647058823534,0.45134961992827466,0.6623376623376623,0.49514563106796117,1.0,token_text,0,3
1,0.4077669902912621,0.41063348416289597,0.4316119639856194,0.41904761904761906,0.4074074074074074,0.43137254901960786,token_text,7,3
2,0.44660194174757284,0.4249622926093514,0.43355250473417284,0.45714285714285713,0.4444444444444444,0.47058823529411764,token_text,14,3
3,0.5145631067961165,0.5098039215686274,0.5231363947631028,0.5283018867924528,0.509090909090909,0.5490196078431373,token_text,21,3
4,0.5728155339805825,0.5923831070889894,0.6149807549973416,0.5849056603773585,0.5636363636363636,0.6078431372549019,token_text,28,3
0,0.8737864077669902,0.9506033182503771,0.9542540254578337,0.8737864077669902,0.8653846153846154,0.8823529411764706,sentence_all,0,4
1,0.9029126213592233,0.9653092006033184,0.9652950726045256,0.9038461538461539,0.8867924528301887,0.9215686274509803,sentence_all,7,4
2,0.912621359223301,0.9800150829562594,0.981365658271564,0.9108910891089109,0.92,0.9019607843137255,sentence_all,14,4
3,0.9902912621359223,0.9996229260935143,0.9996229260935147,0.9900990099009901,1.0,0.9803921568627451,sentence_all,21,4
4,0.9902912621359223,0.9992458521870287,0.9992600813910473,0.9900990099009901,1.0,0.9803921568627451,sentence_all,28,4
0,0.9514563106796117,0.9852941176470589,0.9862930226790925,0.9514563106796117,0.9423076923076923,0.9607843137254902,sentence_img,0,4
1,0.9514563106796117,0.9898190045248869,0.9906045402853402,0.9514563106796117,0.9423076923076923,0.9607843137254902,sentence_img,7,4
2,0.970873786407767,0.9958521870286576,0.9961315013969155,0.9702970297029703,0.98,0.9607843137254902,sentence_img,14,4
3,0.9902912621359223,0.9996229260935143,0.9996229260935147,0.9900990099009901,1.0,0.9803921568627451,sentence_img,21,4
4,0.9805825242718447,0.998868778280543,0.9989106753812639,0.9803921568627451,0.9803921568627451,0.9803921568627451,sentence_img,28,4
0,0.49514563106796117,0.6395173453996984,0.6497131290126618,0.6623376623376623,0.49514563106796117,1.0,sentence_text,0,4
1,0.5145631067961165,0.547134238310709,0.6108716207672115,0.5614035087719298,0.5079365079365079,0.6274509803921569,sentence_text,7,4
2,0.7378640776699029,0.8597285067873304,0.8727741365718317,0.7567567567567568,0.7,0.8235294117647058,sentence_text,14,4
3,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_text,21,4
4,0.9514563106796117,1.0,1.0000000000000002,0.9484536082474226,1.0,0.9019607843137255,sentence_text,28,4
0,0.4077669902912621,0.41365007541478127,0.4229866657548748,0.39603960396039606,0.4,0.39215686274509803,token_all,0,4
1,0.4077669902912621,0.4106334841628959,0.4215939057521333,0.39603960396039606,0.4,0.39215686274509803,token_all,7,4
2,0.4077669902912621,0.4098793363499246,0.42063805417843503,0.3711340206185567,0.391304347826087,0.35294117647058826,token_all,14,4
3,0.47572815533980584,0.4524886877828055,0.4464824082968384,0.47058823529411764,0.47058823529411764,0.47058823529411764,token_all,21,4
4,0.5631067961165048,0.5467571644042232,0.5245056471751561,0.5794392523364486,0.5535714285714286,0.6078431372549019,token_all,28,4
0,0.5728155339805825,0.5637254901960784,0.5445708754737888,0.5849056603773585,0.5636363636363636,0.6078431372549019,token_img,0,4
1,0.5728155339805825,0.5610859728506787,0.5464339146878568,0.5849056603773585,0.5636363636363636,0.6078431372549019,token_img,7,4
2,0.5728155339805825,0.5693815987933635,0.5499906297148466,0.5849056603773585,0.5636363636363636,0.6078431372549019,token_img,14,4
3,0.5533980582524272,0.5708898944193062,0.5627656363684509,0.5576923076923077,0.5471698113207547,0.5686274509803921,token_img,21,4
4,0.5825242718446602,0.5886123680241327,0.5709781822859779,0.5904761904761905,0.5740740740740741,0.6078431372549019,token_img,28,4
0,0.49514563106796117,0.44117647058823534,0.45134961992827466,0.6623376623376623,0.49514563106796117,1.0,token_text,0,4
1,0.4077669902912621,0.41063348416289597,0.4316119639856194,0.41904761904761906,0.4074074074074074,0.43137254901960786,token_text,7,4
2,0.44660194174757284,0.4249622926093514,0.43355250473417284,0.45714285714285713,0.4444444444444444,0.47058823529411764,token_text,14,4
3,0.5145631067961165,0.5098039215686274,0.5231363947631028,0.5283018867924528,0.509090909090909,0.5490196078431373,token_text,21,4
4,0.5728155339805825,0.5923831070889894,0.6149807549973416,0.5849056603773585,0.5636363636363636,0.6078431372549019,token_text,28,4
