,variable,value,attention_matrix
0,0,0.0052418038873322925,img_img_norm
1,0,0.005295966153143092,img_img_norm
2,0,0.005429081793239809,img_img_norm
3,0,0.005741281845795206,img_img_norm
4,0,0.007851712929768466,img_img_norm
5,0,0.005781450830110926,img_img_norm
6,0,0.005860605164771583,img_img_norm
7,0,0.00550384986396322,img_img_norm
8,0,0.005592145376915367,img_img_norm
9,0,0.005003821941089581,img_img_norm
10,0,0.005493757468896108,img_img_norm
11,0,0.006786788907419145,img_img_norm
12,0,0.007042962965114456,img_img_norm
13,0,0.005486493600163573,img_img_norm
14,0,0.005525599844085768,img_img_norm
15,0,0.006574108877717984,img_img_norm
16,0,0.005629586259461105,img_img_norm
17,0,0.005646571878475581,img_img_norm
18,0,0.007041047318416639,img_img_norm
19,0,0.008706025237247846,img_img_norm
20,0,0.005740298071166872,img_img_norm
21,0,0.005914014504307008,img_img_norm
22,0,0.005824967681496761,img_img_norm
23,0,0.0060590726755753955,img_img_norm
24,0,0.006012595053905016,img_img_norm
25,0,0.008929707834846097,img_img_norm
26,0,0.005854694875948642,img_img_norm
27,0,0.005554121981942794,img_img_norm
28,0,0.0052306216551265446,img_img_norm
29,0,0.005990259545906582,img_img_norm
30,0,0.00610215494771506,img_img_norm
31,0,0.00572327296904249,img_img_norm
32,1,0.005659205914903787,img_img_norm
33,1,0.005347398476336766,img_img_norm
34,1,0.005624046678428017,img_img_norm
35,1,0.005234275399910855,img_img_norm
36,1,0.004910138038832203,img_img_norm
37,1,0.005270562148109248,img_img_norm
38,1,0.005102025257160577,img_img_norm
39,1,0.005012165035238925,img_img_norm
40,1,0.005529509532262619,img_img_norm
41,1,0.005274045818885527,img_img_norm
42,1,0.0056440795474068895,img_img_norm
43,1,0.005488819627889119,img_img_norm
44,1,0.005470156052766241,img_img_norm
45,1,0.0048919715021118314,img_img_norm
46,1,0.005091656960722871,img_img_norm
47,1,0.005578062949281218,img_img_norm
48,1,0.00546457599582699,img_img_norm
49,1,0.006155269374886373,img_img_norm
50,1,0.004754883325431179,img_img_norm
51,1,0.005791922808391982,img_img_norm
52,1,0.005236585417713506,img_img_norm
53,1,0.005392863822591739,img_img_norm
54,1,0.0066144323069013975,img_img_norm
55,1,0.005706434011194188,img_img_norm
56,1,0.005741949377462179,img_img_norm
57,1,0.006280548770636617,img_img_norm
58,1,0.0047648305510309555,img_img_norm
59,1,0.006645208962873202,img_img_norm
60,1,0.005721950820391234,img_img_norm
61,1,0.005040845375454627,img_img_norm
62,1,0.005071287909439635,img_img_norm
63,1,0.0057046460252610275,img_img_norm
64,2,0.005939969070183305,img_img_norm
65,2,0.0056682501463784654,img_img_norm
66,2,0.007894729000660667,img_img_norm
67,2,0.005036354018221553,img_img_norm
68,2,0.005527715856664058,img_img_norm
69,2,0.007654554036332683,img_img_norm
70,2,0.005539383625739612,img_img_norm
71,2,0.006994488501357005,img_img_norm
72,2,0.0070273941068359136,img_img_norm
73,2,0.004981883178843912,img_img_norm
74,2,0.005829695390671508,img_img_norm
75,2,0.006630800045303857,img_img_norm
76,2,0.006206006478311128,img_img_norm
77,2,0.006365320805782636,img_img_norm
78,2,0.005747277997988027,img_img_norm
79,2,0.006412370498696675,img_img_norm
80,2,0.007105142989967375,img_img_norm
81,2,0.006901368000077957,img_img_norm
82,2,0.005934543746460673,img_img_norm
83,2,0.005819060351636046,img_img_norm
84,2,0.006321158522226171,img_img_norm
85,2,0.004502107872661601,img_img_norm
86,2,0.004194610753402624,img_img_norm
87,2,0.004696407602460083,img_img_norm
88,2,0.006587941929944814,img_img_norm
89,2,0.005977789682358184,img_img_norm
90,2,0.0050927602853392765,img_img_norm
91,2,0.006341390136608024,img_img_norm
92,2,0.005747146782215202,img_img_norm
93,2,0.009063366761399653,img_img_norm
94,2,0.008671860090077595,img_img_norm
95,2,0.0069307528636439325,img_img_norm
96,3,0.004283729356927559,img_img_norm
97,3,0.004574988892407783,img_img_norm
98,3,0.00402812022605918,img_img_norm
99,3,0.00425949799980475,img_img_norm
100,3,0.003993033684456661,img_img_norm
101,3,0.003626621203677155,img_img_norm
102,3,0.004015767470664993,img_img_norm
103,3,0.0034498891989644463,img_img_norm
104,3,0.00340219435513765,img_img_norm
105,3,0.0027864312338425398,img_img_norm
106,3,0.0037497314781605898,img_img_norm
107,3,0.003553663300709882,img_img_norm
108,3,0.004233070565594126,img_img_norm
109,3,0.00485698342104075,img_img_norm
110,3,0.003592064690364712,img_img_norm
111,3,0.005541453214918575,img_img_norm
